58,39.97249747,116.32805,2007年4月27日 星期五,02:38,2007/4/12,10:23:15,117,39.97804199,116.3290723,星期五,上午,夜晚,工作日
34,39.97200758,116.3319621,2007年4月13日 星期五,15:23,2007/4/13,15:29:55,30,39.97410717,116.3368246,星期五,下午,白天,工作日
34,39.95372556,116.3732356,2007年4月13日 星期五,15:32,2007/4/13,15:36:45,91,39.94837519,116.366073,星期五,下午,白天,工作日
34,39.96723796,116.3754102,2007年4月14日 星期六,03:36,2007/4/14,03:40:46,24,39.96697544,116.3834892,星期六,上午,夜晚,休息日
34,39.97108759,116.3500908,2007年4月14日 星期六,03:41,2007/4/14,03:52:51,179,39.97032947,116.3582291,星期六,上午,夜晚,休息日
58,39.93400855,116.3202876,2007年4月12日 星期四,10:23,2007/4/14,02:45:05,86,39.9477963,116.3183092,星期四,上午,白天,工作日
58,39.936325,116.319675,2007年4月14日 星期六,02:45,2007/4/14,03:03:49,86,39.9477963,116.3183092,星期六,上午,夜晚,休息日
86,39.97195417,116.252575,2007年4月14日 星期六,22:46,2007/4/14,22:53:04,120,39.97834235,116.2490761,星期六,下午,夜晚,休息日
86,39.989775,116.2199843,2007年4月14日 星期六,22:53,2007/4/14,22:57:23,90,39.98001961,116.203468,星期六,下午,夜晚,休息日
86,40.00067879,116.2397046,2007年4月14日 星期六,22:57,2007/4/14,23:03:28,120,39.97834235,116.2490761,星期六,下午,夜晚,休息日
86,40.01381905,116.2618881,2007年4月14日 星期六,23:06,2007/4/14,23:10:43,59,40.00661575,116.2724486,星期六,下午,夜晚,休息日
86,40.04027879,116.2475803,2007年4月14日 星期六,23:11,2007/4/14,23:24:24,143,40.06101188,116.2445007,星期六,下午,夜晚,休息日
86,40.04623205,116.1681551,2007年4月14日 星期六,23:24,2007/4/14,23:29:18,42,40.0641684,116.154058,星期六,下午,夜晚,休息日
86,40.05172308,116.1457885,2007年4月14日 星期六,23:29,2007/4/14,23:34:05,42,40.0641684,116.154058,星期六,下午,夜晚,休息日
86,40.05594394,116.1222455,2007年4月14日 星期六,23:34,2007/4/14,23:39:08,42,40.0641684,116.154058,星期六,下午,夜晚,休息日
86,40.07577083,116.1137194,2007年4月14日 星期六,23:39,2007/4/14,23:44:00,42,40.0641684,116.154058,星期六,下午,白天,休息日
34,39.96644167,116.3407042,2007年4月15日 星期日,10:44,2007/4/15,10:49:54,30,39.97410717,116.3368246,星期日,上午,白天,休息日
34,39.95799792,116.3881229,2007年4月15日 星期日,10:51,2007/4/15,10:55:44,24,39.96697544,116.3834892,星期日,上午,白天,休息日
34,39.94134444,116.4193083,2007年4月15日 星期日,10:58,2007/4/15,11:03:10,88,39.93298914,116.4309136,星期日,上午,白天,休息日
86,40.06646667,116.1376708,2007年4月15日 星期日,07:18,2007/4/15,07:27:19,42,40.0641684,116.154058,星期日,上午,白天,休息日
86,40.06597593,116.2382963,2007年4月15日 星期日,07:30,2007/4/15,07:34:18,143,40.06101188,116.2445007,星期日,上午,白天,休息日
86,40.04394615,116.2525436,2007年4月15日 星期日,07:34,2007/4/15,07:39:07,143,40.06101188,116.2445007,星期日,上午,白天,休息日
86,40.02646667,116.2671833,2007年4月15日 星期日,07:40,2007/4/15,07:45:47,59,40.00661575,116.2724486,星期日,上午,白天,休息日
86,40.00149167,116.2856069,2007年4月15日 星期日,07:46,2007/4/15,07:50:31,59,40.00661575,116.2724486,星期日,上午,白天,休息日
86,39.96551222,116.3001633,2007年4月15日 星期日,07:52,2007/4/15,07:57:16,187,39.96795702,116.3071996,星期日,上午,白天,休息日
86,39.95213929,116.3027798,2007年4月15日 星期日,07:57,2007/4/15,08:03:11,86,39.9477963,116.3183092,星期日,上午,白天,休息日
86,39.94195968,116.3045532,2007年4月15日 星期日,08:03,2007/4/15,08:29:34,69,39.92858612,116.3032416,星期日,上午,夜晚,休息日
18,39.89676458,116.636125,2007年4月16日 星期一,23:51,2007/4/16,23:57:58,145,39.90304324,116.6400454,星期一,下午,白天,工作日
18,39.98003846,116.3291026,2007年4月16日 星期一,12:58,2007/4/16,13:02:20,117,39.97804199,116.3290723,星期一,下午,白天,工作日
